Cs1,6p3/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
600.00000,-104.69,49.48,-13.40,12.85
600.02000,-105.22,49.45,-13.11,12.84
600.04000,-105.76,49.41,-12.82,12.84
600.06000,-106.30,49.38,-12.52,12.83
600.08000,-106.85,49.35,-12.22,12.83
600.10000,-107.40,49.32,-11.92,12.82
600.12000,-107.95,49.29,-11.61,12.81
600.14000,-108.50,49.25,-11.30,12.81
600.16000,-109.06,49.22,-10.99,12.80
600.18000,-109.62,49.19,-10.67,12.79
600.20000,-110.18,49.16,-10.35,12.79
600.22000,-110.75,49.13,-10.03,12.78
600.24000,-111.32,49.10,-9.70,12.78
600.26000,-111.89,49.07,-9.37,12.77
600.28000,-112.47,49.03,-9.03,12.76
600.30000,-113.05,49.00,-8.70,12.76
600.32000,-113.64,48.97,-8.35,12.75
600.34000,-114.23,48.94,-8.01,12.75
600.36000,-114.82,48.91,-7.66,12.74
600.38000,-115.42,48.88,-7.30,12.73
600.40000,-116.02,48.85,-6.94,12.73
600.42000,-116.62,48.82,-6.58,12.72
600.44000,-117.23,48.79,-6.21,12.72
600.46000,-117.85,48.75,-5.84,12.71
600.48000,-118.47,48.72,-5.47,12.70
600.50000,-119.09,48.69,-5.09,12.70
600.52000,-119.72,48.66,-4.70,12.69
600.54000,-120.35,48.63,-4.31,12.69
600.56000,-120.99,48.60,-3.92,12.68
600.58000,-121.63,48.57,-3.52,12.68
600.60000,-122.28,48.54,-3.11,12.67
600.62000,-122.93,48.51,-2.70,12.66
600.64000,-123.59,48.48,-2.29,12.66
600.66000,-124.25,48.45,-1.87,12.65
600.68000,-124.92,48.42,-1.44,12.65
600.70000,-125.60,48.39,-1.01,12.64
600.72000,-126.28,48.36,-0.57,12.64
600.74000,-126.96,48.33,-0.13,12.63
600.76000,-127.65,48.30,0.32,12.63
600.78000,-128.35,48.26,0.78,12.62
600.80000,-129.06,48.23,1.24,12.62
600.82000,-129.77,48.20,1.71,12.61
600.84000,-130.48,48.17,2.18,12.61
600.86000,-131.21,48.14,2.66,12.60
600.88000,-131.94,48.11,3.15,12.59
600.90000,-132.68,48.08,3.64,12.59
600.92000,-133.42,48.05,4.14,12.58
600.94000,-134.17,48.02,4.65,12.58
600.96000,-134.93,47.99,5.17,12.57
600.98000,-135.70,47.96,5.69,12.57
601.00000,-136.47,47.93,6.23,12.56
601.02000,-137.25,47.90,6.77,12.56
601.04000,-138.05,47.87,7.31,12.55
601.06000,-138.84,47.85,7.87,12.55
601.08000,-139.65,47.82,8.44,12.54
601.10000,-140.47,47.79,9.01,12.54
601.12000,-141.29,47.76,9.59,12.54
601.14000,-142.13,47.73,10.18,12.53
601.16000,-142.97,47.70,10.78,12.53
601.18000,-143.82,47.67,11.39,12.52
601.20000,-144.69,47.64,12.02,12.52
601.22000,-145.56,47.61,12.65,12.51
601.24000,-146.45,47.58,13.29,12.51
601.26000,-147.34,47.55,13.94,12.50
601.28000,-148.25,47.52,14.60,12.50
601.30000,-149.16,47.49,15.28,12.50
601.32000,-150.09,47.46,15.96,12.49
601.34000,-151.03,47.43,16.66,12.49
601.36000,-151.98,47.41,17.37,12.48
601.38000,-152.95,47.38,18.09,12.48
601.40000,-153.93,47.35,18.83,12.48
601.42000,-154.92,47.32,19.57,12.47
601.44000,-155.92,47.29,20.34,12.47
601.46000,-156.94,47.26,21.11,12.46
601.48000,-157.98,47.23,21.90,12.46
601.50000,-159.02,47.20,22.71,12.46
601.52000,-160.09,47.18,23.53,12.45
601.54000,-161.17,47.15,24.36,12.45
601.56000,-162.26,47.12,25.21,12.45
601.58000,-163.37,47.09,26.08,12.45
601.60000,-164.50,47.06,26.97,12.44
601.62000,-165.65,47.03,27.87,12.44
601.64000,-166.81,47.00,28.79,12.44
601.66000,-168.00,46.98,29.73,12.43
601.68000,-169.20,46.95,30.69,12.43
601.70000,-170.42,46.92,31.67,12.43
601.72000,-171.67,46.89,32.67,12.43
601.74000,-172.93,46.86,33.69,12.43
601.76000,-174.22,46.84,34.74,12.42
601.78000,-175.53,46.81,35.80,12.42
601.80000,-176.86,46.78,36.89,12.42
601.82000,-178.22,46.75,38.01,12.42
601.84000,-179.61,46.73,39.15,12.42
601.86000,-181.01,46.70,40.31,12.42
