Cs1,6s1/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
600.00000,-335.03,0.51,0.00,0.00
600.02000,-335.07,0.51,0.00,0.00
600.04000,-335.12,0.51,0.00,0.00
600.06000,-335.17,0.51,0.00,0.00
600.08000,-335.21,0.51,0.00,0.00
600.10000,-335.26,0.51,0.00,0.00
600.12000,-335.30,0.51,0.00,0.00
600.14000,-335.35,0.51,0.00,0.00
600.16000,-335.40,0.51,0.00,0.00
600.18000,-335.44,0.51,0.00,0.00
600.20000,-335.49,0.51,0.00,0.00
600.22000,-335.53,0.51,0.00,0.00
600.24000,-335.58,0.51,0.00,0.00
600.26000,-335.63,0.51,0.00,0.00
600.28000,-335.67,0.51,0.00,0.00
600.30000,-335.72,0.51,0.00,0.00
600.32000,-335.76,0.51,0.00,0.00
600.34000,-335.81,0.52,0.00,0.00
600.36000,-335.86,0.52,0.00,0.00
600.38000,-335.90,0.52,0.00,0.00
600.40000,-335.95,0.52,0.00,0.00
600.42000,-335.99,0.52,0.00,0.00
600.44000,-336.04,0.52,0.00,0.00
600.46000,-336.09,0.52,0.00,0.00
600.48000,-336.13,0.52,0.00,0.00
600.50000,-336.18,0.52,0.00,0.00
600.52000,-336.22,0.52,0.00,0.00
600.54000,-336.27,0.52,0.00,0.00
600.56000,-336.32,0.52,0.00,0.00
600.58000,-336.36,0.52,0.00,0.00
600.60000,-336.41,0.52,0.00,0.00
600.62000,-336.46,0.52,0.00,0.00
600.64000,-336.50,0.52,0.00,0.00
600.66000,-336.55,0.52,0.00,0.00
600.68000,-336.59,0.52,0.00,0.00
600.70000,-336.64,0.52,0.00,0.00
600.72000,-336.69,0.52,0.00,0.00
600.74000,-336.73,0.52,0.00,0.00
600.76000,-336.78,0.52,0.00,0.00
600.78000,-336.82,0.52,0.00,0.00
600.80000,-336.87,0.52,0.00,0.00
600.82000,-336.92,0.52,0.00,0.00
600.84000,-336.96,0.52,0.00,0.00
600.86000,-337.01,0.52,0.00,0.00
600.88000,-337.06,0.52,0.00,0.00
600.90000,-337.10,0.52,0.00,0.00
600.92000,-337.15,0.52,0.00,0.00
600.94000,-337.19,0.52,0.00,0.00
600.96000,-337.24,0.52,0.00,0.00
600.98000,-337.29,0.52,0.00,0.00
601.00000,-337.33,0.52,0.00,0.00
601.02000,-337.38,0.52,0.00,0.00
601.04000,-337.43,0.52,0.00,0.00
601.06000,-337.47,0.52,0.00,0.00
601.08000,-337.52,0.52,0.00,0.00
601.10000,-337.57,0.52,0.00,0.00
601.12000,-337.61,0.52,0.00,0.00
601.14000,-337.66,0.52,0.00,0.00
601.16000,-337.70,0.52,0.00,0.00
601.18000,-337.75,0.52,0.00,0.00
601.20000,-337.80,0.52,0.00,0.00
601.22000,-337.84,0.52,0.00,0.00
601.24000,-337.89,0.52,0.00,0.00
601.26000,-337.94,0.52,0.00,0.00
601.28000,-337.98,0.52,0.00,0.00
601.30000,-338.03,0.52,0.00,0.00
601.32000,-338.07,0.52,0.00,0.00
601.34000,-338.12,0.52,0.00,0.00
601.36000,-338.17,0.52,0.00,0.00
601.38000,-338.21,0.52,0.00,0.00
601.40000,-338.26,0.52,0.00,0.00
601.42000,-338.31,0.52,0.00,0.00
601.44000,-338.35,0.52,0.00,0.00
601.46000,-338.40,0.52,0.00,0.00
601.48000,-338.45,0.52,0.00,0.00
601.50000,-338.49,0.52,0.00,0.00
601.52000,-338.54,0.52,0.00,0.00
601.54000,-338.59,0.52,0.00,0.00
601.56000,-338.63,0.52,0.00,0.00
601.58000,-338.68,0.52,0.00,0.00
601.60000,-338.73,0.52,0.00,0.00
601.62000,-338.77,0.52,0.00,0.00
601.64000,-338.82,0.52,0.00,0.00
601.66000,-338.86,0.52,0.00,0.00
601.68000,-338.91,0.52,0.00,0.00
601.70000,-338.96,0.52,0.00,0.00
601.72000,-339.00,0.52,0.00,0.00
601.74000,-339.05,0.52,0.00,0.00
601.76000,-339.10,0.52,0.00,0.00
601.78000,-339.14,0.52,0.00,0.00
601.80000,-339.19,0.52,0.00,0.00
601.82000,-339.24,0.52,0.00,0.00
601.84000,-339.28,0.52,0.00,0.00
601.86000,-339.33,0.52,0.00,0.00
601.88000,-339.38,0.52,0.00,0.00
601.90000,-339.42,0.52,0.00,0.00
601.92000,-339.47,0.52,0.00,0.00
601.94000,-339.52,0.52,0.00,0.00
601.96000,-339.56,0.52,0.00,0.00
601.98000,-339.61,0.52,0.00,0.00
602.00000,-339.66,0.52,0.00,0.00
602.02000,-339.70,0.52,0.00,0.00
602.04000,-339.75,0.52,0.00,0.00
602.06000,-339.80,0.52,0.00,0.00
602.08000,-339.84,0.52,0.00,0.00
