Rb1,5p3/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
600.00000,-45.20,10.06,-70.23,2.97
600.02000,-45.29,10.06,-70.21,2.97
600.04000,-45.38,10.06,-70.19,2.97
600.06000,-45.48,10.07,-70.17,2.97
600.08000,-45.57,10.07,-70.15,2.97
600.10000,-45.67,10.07,-70.13,2.97
600.12000,-45.76,10.07,-70.11,2.97
600.14000,-45.85,10.08,-70.09,2.97
600.16000,-45.95,10.08,-70.08,2.97
600.18000,-46.04,10.08,-70.06,2.97
600.20000,-46.14,10.08,-70.04,2.97
600.22000,-46.23,10.09,-70.02,2.97
600.24000,-46.33,10.09,-70.00,2.97
600.26000,-46.42,10.09,-69.97,2.97
600.28000,-46.51,10.09,-69.95,2.97
600.30000,-46.61,10.10,-69.93,2.97
600.32000,-46.70,10.10,-69.91,2.97
600.34000,-46.80,10.10,-69.89,2.97
600.36000,-46.89,10.10,-69.87,2.97
600.38000,-46.99,10.10,-69.85,2.97
600.40000,-47.08,10.11,-69.83,2.97
600.42000,-47.18,10.11,-69.81,2.97
600.44000,-47.28,10.11,-69.79,2.97
600.46000,-47.37,10.11,-69.77,2.97
600.48000,-47.47,10.12,-69.75,2.97
600.50000,-47.56,10.12,-69.73,2.97
600.52000,-47.66,10.12,-69.71,2.97
600.54000,-47.75,10.12,-69.69,2.97
600.56000,-47.85,10.13,-69.66,2.97
600.58000,-47.95,10.13,-69.64,2.97
600.60000,-48.04,10.13,-69.62,2.97
600.62000,-48.14,10.13,-69.60,2.97
600.64000,-48.23,10.14,-69.58,2.97
600.66000,-48.33,10.14,-69.56,2.97
600.68000,-48.43,10.14,-69.54,2.97
600.70000,-48.52,10.14,-69.51,2.97
600.72000,-48.62,10.15,-69.49,2.97
600.74000,-48.72,10.15,-69.47,2.97
600.76000,-48.81,10.15,-69.45,2.97
600.78000,-48.91,10.15,-69.43,2.97
600.80000,-49.01,10.16,-69.40,2.97
600.82000,-49.11,10.16,-69.38,2.97
600.84000,-49.20,10.16,-69.36,2.97
600.86000,-49.30,10.16,-69.34,2.97
600.88000,-49.40,10.16,-69.32,2.97
600.90000,-49.49,10.17,-69.29,2.97
600.92000,-49.59,10.17,-69.27,2.97
600.94000,-49.69,10.17,-69.25,2.97
600.96000,-49.79,10.17,-69.23,2.97
600.98000,-49.89,10.18,-69.20,2.97
601.00000,-49.98,10.18,-69.18,2.97
601.02000,-50.08,10.18,-69.16,2.97
601.04000,-50.18,10.18,-69.13,2.97
601.06000,-50.28,10.19,-69.11,2.97
601.08000,-50.38,10.19,-69.09,2.97
601.10000,-50.48,10.19,-69.07,2.97
601.12000,-50.57,10.19,-69.04,2.97
601.14000,-50.67,10.20,-69.02,2.97
601.16000,-50.77,10.20,-69.00,2.97
601.18000,-50.87,10.20,-68.97,2.97
601.20000,-50.97,10.20,-68.95,2.97
601.22000,-51.07,10.21,-68.93,2.97
601.24000,-51.17,10.21,-68.90,2.97
601.26000,-51.27,10.21,-68.88,2.97
601.28000,-51.37,10.21,-68.85,2.97
601.30000,-51.47,10.22,-68.83,2.97
