Rb1,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
600.00000,-421.54,0.54,0.00,0.00
600.02000,-421.61,0.54,0.00,0.00
600.04000,-421.68,0.54,0.00,0.00
600.06000,-421.75,0.54,0.00,0.00
600.08000,-421.82,0.54,0.00,0.00
600.10000,-421.89,0.54,0.00,0.00
600.12000,-421.96,0.54,0.00,0.00
600.14000,-422.03,0.54,0.00,0.00
600.16000,-422.10,0.54,0.00,0.00
600.18000,-422.17,0.54,0.00,0.00
600.20000,-422.24,0.54,0.00,0.00
600.22000,-422.31,0.54,0.00,0.00
600.24000,-422.38,0.54,0.00,0.00
600.26000,-422.45,0.54,0.00,0.00
600.28000,-422.52,0.54,0.00,0.00
600.30000,-422.59,0.54,0.00,0.00
600.32000,-422.66,0.54,0.00,0.00
600.34000,-422.73,0.54,0.00,0.00
600.36000,-422.80,0.54,0.00,0.00
600.38000,-422.87,0.54,0.00,0.00
600.40000,-422.94,0.54,0.00,0.00
600.42000,-423.01,0.54,0.00,0.00
600.44000,-423.08,0.54,0.00,0.00
600.46000,-423.15,0.54,0.00,0.00
600.48000,-423.22,0.54,0.00,0.00
600.50000,-423.29,0.54,0.00,0.00
600.52000,-423.36,0.54,0.00,0.00
600.54000,-423.43,0.54,0.00,0.00
600.56000,-423.50,0.54,0.00,0.00
600.58000,-423.57,0.54,0.00,0.00
600.60000,-423.64,0.54,0.00,0.00
600.62000,-423.71,0.54,0.00,0.00
600.64000,-423.78,0.54,0.00,0.00
600.66000,-423.85,0.54,0.00,0.00
600.68000,-423.92,0.54,0.00,0.00
600.70000,-423.99,0.54,0.00,0.00
600.72000,-424.06,0.54,0.00,0.00
600.74000,-424.13,0.54,0.00,0.00
600.76000,-424.20,0.54,0.00,0.00
600.78000,-424.27,0.54,0.00,0.00
600.80000,-424.34,0.54,0.00,0.00
600.82000,-424.41,0.54,0.00,0.00
600.84000,-424.48,0.54,0.00,0.00
600.86000,-424.55,0.55,0.00,0.00
600.88000,-424.62,0.55,0.00,0.00
600.90000,-424.70,0.55,0.00,0.00
600.92000,-424.77,0.55,0.00,0.00
600.94000,-424.84,0.55,0.00,0.00
600.96000,-424.91,0.55,0.00,0.00
600.98000,-424.98,0.55,0.00,0.00
