Cs_n,C6_CsCs_GHz_um6,Na_n,C6_NaNa_GHz_um6,Rb_n,C6_RbRb_GHz_um6
50,10.856893420914556,48,21.88018453683644,48,9.392635584503862
51,13.862555680863641,49,27.925767051205565,48,9.392635527384948
52,17.60506878358027,50,35.44697460690951,50,15.426369312657085
53,22.243769277985024,51,44.75439777006358,51,19.609070806955543
54,27.963164819311498,52,56.21115277160372,52,24.80324381499872
55,34.97937930413338,53,70.23850505991318,53,31.20924791032846
56,43.54745866919876,54,87.3212975030132,58,91.80301266635202
57,53.96004795529749,55,108.01229056505207,59,112.42419261764186
58,66.54812078018284,56,132.93583930410057,56,60.466762537443145
59,81.68503890120982,57,162.73840380992698,59,112.42419333841524
60,99.81130380738664,55,108.01229228414334,60,137.09631358050535
61,121.41578295898196,59,240.31085038897254,61,166.4838198646685
62,147.01687260741522,57,162.73840734574023,62,201.32980825200252
63,177.18566802146276,58,198.19350666231566,63,242.3366883417806
64,212.5256153563587,60,289.8166333179566,65,346.90534961275716
65,253.77669815234574,63,493.0503405023576,66,411.4991732404544
66,301.3878552098796,64,582.2582746582293,67,477.30957249422664
67,349.65518908030487,65,675.2660469378178,69,673.2200479668156
68,406.0905200229423,66,798.7120347285937,70,787.8888299977697
69,476.2391465060777,67,930.5799092947591,70,787.8888379971401
70,550.7637176692767,68,1077.4971192008693,71,917.4859806068674
71,682.614499163207,69,1241.1230773773048,71,917.4859611852632
72,784.6667848807948,70,1422.1896541806404,72,1064.7464307015966
73,899.3700529041397,71,1621.0864921143443,74,1416.3735684984333
74,1025.4761628060419,72,1837.692410775588,74,1416.3735621262692
75,1160.7963566970843,73,2072.24561170005,75,1622.3571327492677
76,1298.0757404849974,73,2072.2456214974186,76,1852.703488028188
77,1433.1887726686646,75,2593.5855418424794,77,2105.66646768213
78,1729.596888455941,76,2877.310922080784,78,2382.8167380091804
79,1920.0166864929568,77,3174.9718858748383,82,3558.75436499457
80,2119.073880984741,78,3481.94523498449,83,3857.0174456479776
